car_name,brand,car_model,registration,model_year,transmission,body_type,fuel_type,engine_capacity,kilometers_run,price
Maruti Suzuki WagonR VXI 2004,Maruti Suzuki,WagonR,2006,2004,Manual,Saloon,"CNG, Octane",1061,73000,249400
Toyota Starlet Soleil 1992,Toyota,Starlet,1995,1992,Automatic,Hatchback,"Petrol, CNG",1300,135773,406000
Nissan Bluebird sylphy 2006,Nissan,Bluebird,2010,2006,Automatic,Saloon,Octane,1500,76000,1180000
Toyota RunX 2005,Toyota,RunX,2007,2005,Automatic,Hatchback,"Petrol, CNG, Octane",1500,142000,1038200
Toyota Allion A15 2017,Toyota,Allion,2020,2017,Automatic,Saloon,"Petrol, Octane",1500,20000,3120400
Hyundai Tucson 2011,Hyundai,Tucson,2014,2011,Automatic,SUV / 4x4,"Petrol, Octane",2000,29698,1740000
Toyota Esquire 2016,Toyota,Esquire,2018,2016,Automatic,MPV,Octane,1800,45214,3306000
Toyota Corolla 2000,Toyota,Corolla,2001,2000,Automatic,Saloon,"CNG, Octane",1600,152000,672800
Toyota Prado Tx-L limited 2017,Toyota,Prado,2021,2017,Automatic,SUV / 4x4,"Petrol, Octane",2700,27000,13950000
Toyota Noah X 2015,Toyota,Noah,2018,2015,Automatic,MPV,Petrol,2000,75000,3514800
Honda Vezel Z 2014,Honda,Vezel,2016,2014,Automatic,SUV / 4x4,Octane,1500,41500,2524400
Toyota Allion G 2011,Toyota,Allion,2015,2011,Automatic,Saloon,"Petrol, CNG, Octane",1500,66565,2088000
Toyota Corolla SE Saloon 110 1997,Toyota,Corolla,2001,1997,Automatic,Saloon,"CNG, Octane",1500,850000,667000
Toyota Hiace GL 2017,Toyota,Hiace,2019,2017,Automatic,MPV,"Petrol, Octane",2000,64820,3232400
Toyota Prado 2012,Toyota,Prado,2013,2012,Automatic,SUV / 4x4,"CNG, Octane",2700,87000,7567000
Toyota Noah DX KR 42 2005,Toyota,Noah,2010,2005,Automatic,MPV,"CNG, Octane",1800,68000,997600
Toyota Noah Esquire GI 2017,Toyota,Noah,2018,2017,Automatic,MPV,Hybrid,1800,43000,4779200
Nissan X-Trail 2018,Nissan,X-Trail,2019,2018,Automatic,SUV / 4x4,Hybrid,2000,45000,4701200
Mitsubishi GLX Lancer 2010,Mitsubishi,GLX,2011,2010,Automatic,Saloon,Octane,1300,67500,975000
Toyota Premio F 2016,Toyota,Premio,2020,2016,Automatic,Saloon,"CNG, Octane",1500,38000,3054000
Toyota C-HR G 2017,Toyota,C-HR,2018,2017,Automatic,SUV / 4x4,Hybrid,1500,55000,3712000
Nissan X-Trail 2018,Nissan,X-Trail,2020,2018,Automatic,SUV / 4x4,"Petrol, Hybrid, Octane",2000,20100,5243200
Toyota Noah X-Non Hybrid 2018,Toyota,Noah,2020,2018,Automatic,MPV,"Petrol, Octane",1800,41354,3500000
Nissan Sunny 2008,Nissan,Sunny,2008,2008,Automatic,Saloon,"CNG, Octane",1300,68600,870000
Toyota Corolla X Best condition. 2004,Toyota,Corolla,2010,2004,Automatic,Saloon,"CNG, Octane",1500,78500,1115000
Toyota Hiace GL 2016,Toyota,Hiace,2020,2016,Automatic,MPV,"Petrol, Octane",2000,34560,2668000
Toyota navana 1996,Toyota,navana,2000,1996,Manual,MPV,"Petrol, CNG",1800,75000,435000
Nissan Bluebird . 2007,Nissan,Bluebird,2010,2007,Automatic,Saloon,"Octane, LPG",1500,61000,1380000
Toyota Spacio Sunroof & Moonroof 2001,Toyota,Spacio,2003,2001,Automatic,Hatchback,"CNG, Octane",1500,65236,1073000
Toyota Fielder G Edition 2005,Toyota,Fielder,2009,2005,Automatic,Estate,"CNG, Octane",1500,185000,1055600
Toyota Hiace GL 2016,Toyota,Hiace,2018,2016,Automatic,MPV,"Petrol, Octane",2000,48000,3596000
Toyota Probox DX 2003,Toyota,Probox,2005,2003,Automatic,Estate,"Petrol, CNG, Octane",1500,93000,672800
Nissan Sunny sedan 2006,Nissan,Sunny,2006,2006,Automatic,Saloon,"CNG, Octane",1300,56000,600000
Toyota Premio F Push Start 2007,Toyota,Premio,2008,2007,Automatic,Saloon,"CNG, Octane",1500,149000,1790000
Toyota RAV4 2004,Toyota,RAV4,2008,2004,Automatic,SUV / 4x4,"Petrol, Octane",1800,65000,1798000
Toyota Noah X HYBRID TWO DOOR P. 2018,Toyota,Noah,2019,2018,Automatic,MPV,"Hybrid, Octane",1800,89000,3050000
Honda Vezel 2018,Honda,Vezel,2020,2018,Automatic,SUV / 4x4,Hybrid,1500,54000,2400000
Toyota Belta 2006,Toyota,Belta,2006,2006,Automatic,Saloon,"Oil,CNG",1300,100000,904800
Toyota Hiace GL 2015,Toyota,Hiace,2017,2015,Automatic,MPV,Octane,2000,31950,2662200
Nissan Sunny G 2004,Nissan,Sunny,2008,2004,Automatic,Saloon,"CNG, Octane",1500,74698,858400
Toyota Allion G edition 2014,Toyota,Allion,2017,2014,Automatic,Saloon,Octane,1500,45137,2600000
BMW 3 Series 2003,BMW,3 Series,2003,2003,Automatic,Saloon,Octane,2000,51000,1550000
Nissan X-Trail 2016,Nissan,X-Trail,2021,2016,Automatic,SUV / 4x4,"Petrol, Hybrid, Octane",2000,38855,4251400
Nissan X-Trail 2017,Nissan,X-Trail,2021,2017,Automatic,SUV / 4x4,"Petrol, Hybrid, Octane",2000,55770,5057600
Toyota Kluger 2004,Toyota,Kluger,2008,2004,Automatic,SUV / 4x4,"CNG, Octane",2400,75000,1908200
Toyota Allion G 2018,Toyota,Allion,2022,2018,Automatic,Saloon,"Petrol, Octane",1500,20000,3596000
Honda Grace 2016,Honda,Grace,2017,2016,Automatic,Saloon,"Hybrid, Octane",1500,50358,2298200
Toyota Hiace Super GL 2013,Toyota,Hiace,2015,2013,Automatic,MPV,"CNG, Octane",2000,55000,2807200
Mitsubishi Lancer Ex.GLS. 2015,Mitsubishi,Lancer,2015,2015,Automatic,Saloon,"Octane, LPG",1500,58000,1520000
Toyota Prado TX Sunroof 2007,Toyota,Prado,2008,2007,Automatic,SUV / 4x4,Octane,2700,60000,4300000
Toyota Allion A15 Push 2010,Toyota,Allion,2016,2010,Automatic,Saloon,Octane,1500,58000,2040000
Toyota Noah 2 door pawer 2005,Toyota,Noah,2008,2005,Automatic,MPV,"CNG, Octane",2000,52146,1398600
Chevrolet Spark 2008,Chevrolet,Spark,2010,2008,Manual,Hatchback,Octane,1000,45000,464000
Toyota Noah X 2003,Toyota,Noah,2005,2003,Automatic,MPV,"CNG, Octane",2000,81000,1218000
Toyota Noah G- Edition 2002,Toyota,Noah,2005,2002,Automatic,MPV,"CNG, Octane",2000,78123,1299200
Toyota Allion G PLUS AP 5 2019,Toyota,Allion,2023,2019,Automatic,Saloon,Octane,1500,5000,3850000
Toyota Premio Ex 2019,Toyota,Premio,2020,2019,Automatic,Saloon,Octane,1500,7000,4524000
Toyota Prado TX Ltd Sunroof 2016,Toyota,Prado,2016,2016,Automatic,SUV / 4x4,Octane,2700,47000,11500000
Toyota Hiace 2015,Toyota,Hiace,2017,2015,Automatic,MPV,Petrol,2000,57000,2853600
Toyota Corolla 2004,Toyota,Corolla,2006,2004,Automatic,Saloon,"CNG, Octane",1500,54000,1113600
Nissan X-Trail 2016,Nissan,X-Trail,2018,2016,Automatic,SUV / 4x4,"Hybrid, Octane",2000,36550,4002000
Nissan Tiida 2005,Nissan,Tiida,2007,2005,Automatic,Saloon,Octane,1500,60015,910600
Toyota Yaris 2006,Toyota,Yaris,2009,2006,Automatic,Saloon,"Oil,CNG",1300,124000,713400
Toyota Noah X 2005,Toyota,Noah,2007,2005,Automatic,MPV,"CNG, Octane",2000,69800,1502200
